frame,time,confidence,label,x,y
0.0,0.0,0.7480431795120239,person,534.5,509.0
1.0,0.76,0.789595365524292,person,523.0,497.0
2.0,1.52,0.7464734315872192,person,546.5,484.5
3.0,2.28,0.7630264759063721,person,541.5,467.5
4.0,3.04,0.7687085866928101,person,532.5,486.5
5.0,3.8,0.7967513799667358,person,525.5,481.0
6.0,4.56,0.7816009521484375,person,494.0,499.5
7.0,5.32,0.6614775657653809,person,398.0,508.0
8.0,6.08,0.7634100317955017,person,267.5,502.5
9.0,6.84,0.7857697606086731,person,167.0,538.5
10.0,7.6,0.8200116753578186,person,204.0,533.5
11.0,8.36,0.7806429862976074,person,296.5,540.5
12.0,9.12,0.7426352500915527,person,414.5,554.5
13.0,9.88,0.867122232913971,person,535.5,572.0
14.0,10.64,0.8744190335273743,person,716.5,582.5
15.0,11.4,0.7055323123931885,person,899.0,586.0
16.0,12.16,0.794336199760437,person,1007.0,613.0
17.0,12.92,0.6336697936058044,person,948.5,593.0
18.0,13.68,0.738409161567688,person,847.0,565.0
